domain,experiment,variant,seed,F1,ApexMAE,OnsetMAE,DurMAE,IntMAPE
elc,optimal_ablation,GP1d_wo_offset,123.0,0.7938208768640056,1.04859392575928,1.1023622047244095,0.5075365579302588,0.12367333786842889
elc,optimal_ablation,GP1d_wo_offset,42.0,0.8198734989458244,1.0805008944543828,1.1288014311270125,0.5080500894454383,0.1159576580089937
elc,optimal_ablation,GP1d_wo_offset,456.0,0.7362560890744607,1.0940453686200378,1.1446124763705103,0.5356805293005671,0.11715907176684856
elc,optimal_ablation,GP1e_generic_npp,123.0,0.7809716227385436,1.3191439322671683,1.2761053621825023,0.5609125117591721,0.11675126172092753
elc,optimal_ablation,GP1e_generic_npp,42.0,0.8149430523917996,1.1864937388193202,1.1945438282647585,0.5091681574239714,0.11065433892340655
elc,optimal_ablation,GP1e_generic_npp,456.0,0.8290126861555431,1.2497227766688845,1.1858505211798624,0.5205145265025505,0.11129151850128469
elc,optimal_ablation,GS1_wo_mempos,123.0,0.6997154135683468,1.0089215429021254,1.106008921542902,0.5429021254263973,0.13078769612593497
elc,optimal_ablation,GS1_wo_mempos,42.0,0.6595150094654286,1.1585565882996174,1.192454893384363,0.5366320393657736,0.12647450093540324
elc,optimal_ablation,GS1_wo_mempos,456.0,0.6948069980560956,1.100452970956568,1.1537436717292833,0.5227817745803357,0.12753991379646293
elc,optimal_ablation,GS2_wo_sa,123.0,0.7464553060325848,1.0127418593676263,1.048135913166588,0.5689004247286455,0.128657785009195
elc,optimal_ablation,GS2_wo_sa,42.0,0.7777077518681913,1.1442463533225284,1.1518870108821486,0.5730493169715212,0.13710490989789642
elc,optimal_ablation,GS2_wo_sa,456.0,0.8088678040324788,1.182043762688924,1.2219715768102866,0.5792916760658696,0.13017629130390448
elc,optimal_ablation,GS3_bare,123.0,0.707151774567505,1.2025220680958386,1.178562421185372,0.6131147540983607,0.13169293653328037
elc,optimal_ablation,GS3_bare,42.0,0.6856635596981803,1.2571206628689797,1.2879337131020197,0.5507509062661833,0.1309460433641142
elc,optimal_ablation,GS3_bare,456.0,0.7106734096353473,1.1637952559300875,1.2247191011235956,0.5186017478152309,0.12958929101906053
elc,optimal_ablation,GS4_cnn_fix,123.0,0.4763754045307444,1.385529891304348,1.494904891304348,0.5132472826086957,0.13248285544056596
